"Pais","Region","Elections","Suffrage","FreeParties","Government","Justice","LibeCivil","Rights","Pluralism","FunctionGovernment","Participation","Culture","DemoScore","System","Economy","Gender","Knowledge"
"Albania","Europe","5.91","9.25","5.94","10","8.01","6.62","5.87","7","5.36","4.44","5","5.69","5.85","3.6","6.58","4.22"
"Argentina","Latin America/Caribbean","8.54","9.45","7.47","10","6.48","7.28","6.21","9.17","5.36","6.11","6.25","6.39","6.74","4.64","7.37","4.74"
"Armenia","Europe","5.81","8.49","6.48","7.62","7.04","7.19","6.13","7.5","5.36","6.11","3.13","4.6","4.15","3.2","6.11","3.5"
"Australia","Asia/Pacific","8.55","9.67","7.14","10","9.23","7.66","6.91","10","8.93","7.78","8.75","8.05","8.76","6.98","8.36","7"
"Austria","Europe","8.64","9.58","7.11","10","8.22","7.99","7.05","9.58","7.86","8.33","6.88","7.99","8.55","6.91","8.02","6.91"
"Bahrain","Middle East","3.23","8.15","2.95","4.07","4.13","2.34","2.77","0.83","2.71","2.78","4.38","3.86","1.82","7.15","6.44","4.19"
"Bangladesh","Asia/Pacific","3.08","8.65","4.2","5.11","4.26","4.05","2.71","7.83","6.07","6.11","4.38","4.81","4.7","4.04","6.02","1.96"
"Belgium","Europe","9.18","9.75","6.58","10","9.18","8.27","8.5","9.58","8.21","5","6.88","8.03","9.05","6.15","8.13","6.8"
"Benin","Africa","5.95","9.68","5.4","10","6.8","6.64","5.16","4.67","5.71","4.44","5.63","5.17","6.33","4.4","4.73","2.01"
"Bolivia","Latin America/Caribbean","4.97","8.74","5.6","7.15","4.94","5.52","5.04","4.75","3.93","5","3.75","5.54","6.16","4.48","6.6","2.43"
"Bosnia and Herzegovina","Europe","6.42","8.92","5.85","6.02","5.62","5.74","4.84","6.17","2.93","5.56","3.75","4.75","4.95","2.05","5.34","2.82"
"Botswana","Africa","5.89","8.87","6.55","7.15","7.58","6.54","5.54","9.17","7.14","6.11","7.5","5.63","6.46","4.36","5.39","2.83"
"Brazil","Latin America/Caribbean","7.4","9.29","6.98","10","6.35","5.71","5.53","9.58","5.36","6.11","5","6.25","6.69","4.6","6.96","3.94"
"Bulgaria","Europe","7.63","9.06","6.42","10","6.71","6.44","6.73","9.17","6.43","7.22","4.38","6.44","7.04","4.97","7.17","4.15"
"Burkina Faso","Africa","0.03","0","5.77","6.09","4.95","5.81","4.54","3.92","2.71","4.44","5","4.53","4.62","4.18","4.73","1.59"
"Canada","North America","9.11","9.43","7.13","10","8.12","8.46","8.1","9.58","9.64","7.78","9.38","7.99","8.97","6.83","8.2","6.2"
"Chile","Latin America/Caribbean","9.42","9.87","7.86","10","7.77","7.23","5.54","9.58","8.57","5","8.13","7.2","8.14","5.12","7.69","4.14"
"China","Asia/Pacific","0.02","0","1.68","1.34","5","2.33","4.34","0","4.29","3.33","2.5","3.83","2.19","4.77","6.79","3.83"
"Colombia","Latin America/Caribbean","8.13","9.26","7.37","10","5.48","5.51","4.62","9.17","6.79","5.56","5.63","5.73","5.8","4.63","6.59","3.03"
"Costa Rica","Latin America/Caribbean","9.49","9.77","7.49","10","8.34","8.11","7.52","9.58","7.5","6.67","7.5","7.02","8.02","4.47","7.01","3.45"
"Croatia","Europe","9.22","9.59","6.22","10","7.2","6.43","5.81","9.17","6.07","5.56","5","6.7","7.36","3.91","6.99","4.78"
"Cyprus","Europe","8.69","9.52","7.01","10","8.59","7.47","6.2","9.17","6.43","6.67","6.88","6.91","7.71","4.62","7.3","4.33"
"Denmark","Europe","8.89","9.63","7.79","10","9.61","8.53","9.09","10","9.29","8.33","9.38","8.51","9.43","6.95","8.28","6.76"
"Dominican Republic","Latin America/Caribbean","6.14","9.06","5.85","10","4.32","6.92","3.95","9.17","5.36","6.11","5","5.59","6.13","3.78","5.65","2.91"
"Ecuador","Latin America/Caribbean","7","9.25","6.58","10","5.58","6.99","4.76","8.75","5.36","6.11","4.38","5.55","5.5","4.58","7","2.69"
"Egypt","Africa","2.12","8.5","3.19","4.07","5.43","2.66","3.22","2.67","3.21","3.33","3.75","3.57","2.48","3.27","4.53","2.92"
"El Salvador","Latin America/Caribbean","7.21","8.84","7.06","10","4","6.55","4.13","9.17","4.64","6.11","3.75","5.87","6.39","4.71","6.31","2.29"
"Estonia","Europe","9.22","9.7","6.73","10","8.78","8.43","7.64","9.58","7.86","6.67","6.88","7.25","8.48","6.05","7.97","5.65"
"Finland","Europe","9.21","9.58","7.45","10","9.03","8.09","9.06","10","8.93","8.89","8.75","8.6","9.97","6.37","8.47","7.02"
"France","Europe","9","9.72","6.98","10","8.44","7.54","7.54","9.58","7.86","7.78","6.88","7.82","8.52","5.92","7.81","6.26"
"Georgia","Europe","6.3","8.96","6.34","10","6.07","7.09","6.54","7.83","3.21","6.11","4.38","5.64","5.87","4.09","6.58","2.88"
"Germany","Europe","9.11","9.62","7.1","10","9.53","8.26","9.07","9.58","8.57","8.33","7.5","8.13","9.02","7.11","7.8","6.72"
"Ghana","Africa","7.84","9.13","6.69","10","7.61","6.84","5.57","8.33","5.71","6.67","6.25","5.78","7.16","4.19","5.31","1.69"
